name,type,url
EUROCORDEX44_MPI-CSC-MPI-M-MPI-ESM-LR_r1i1p1_REMO2009_v1_historical,projection,http://meteo.unican.es/tds5/dodsC/cordex/EUR-44/MPI-CSC/MPI-M-MPI-ESM-LR_historical_r1i1p1_REMO2009_v1_day.ncml
EUROCORDEX44_MPI-CSC-MPI-M-MPI-ESM-LR_r1i1p1_REMO2009_v1_rcp45,projection,http://meteo.unican.es/tds5/dodsC/cordex/EUR-44/MPI-CSC/MPI-M-MPI-ESM-LR_rcp45_r1i1p1_REMO2009_v1_day.ncml
EUROCORDEX44_MPI-CSC-MPI-M-MPI-ESM-LR_r1i1p1_REMO2009_v1_rcp85,projection,http://meteo.unican.es/tds5/dodsC/cordex/EUR-44/MPI-CSC/MPI-M-MPI-ESM-LR_rcp85_r1i1p1_REMO2009_v1_day.ncml
EUROCORDEX44_MPI-CSC-MPI-M-MPI-ESM-LR_r2i1p1_REMO2009_v1_historical,projection,http://meteo.unican.es/tds5/dodsC/cordex/EUR-44/MPI-CSC/MPI-M-MPI-ESM-LR_historical_r2i1p1_REMO2009_v1_day.ncml
EUROCORDEX44_MPI-CSC-MPI-M-MPI-ESM-LR_r2i1p1_REMO2009_v1_rcp45,projection,http://meteo.unican.es/tds5/dodsC/cordex/EUR-44/MPI-CSC/MPI-M-MPI-ESM-LR_rcp45_r2i1p1_REMO2009_v1_day.ncml
EUROCORDEX44_MPI-CSC-MPI-M-MPI-ESM-LR_r2i1p1_REMO2009_v1_rcp85,projection,http://meteo.unican.es/tds5/dodsC/cordex/EUR-44/MPI-CSC/MPI-M-MPI-ESM-LR_rcp85_r2i1p1_REMO2009_v1_day.ncml
EUROCORDEX44_CLMcom-ECMWF-ERAINT_r1i1p1_CCLM4-8-17_v1_evaluation,projection,http://meteo.unican.es/tds5/dodsC/cordex/EUR-44/CLMcom/ECMWF-ERAINT_evaluation_r1i1p1_CCLM4-8-17_v1_day.ncml
EUROCORDEX44_KNMI-ECMWF-ERAINT_r1i1p1_RACMO22E_v1_evaluation,projection,http://meteo.unican.es/tds5/dodsC/cordex/EUR-44/KNMI/ECMWF-ERAINT_evaluation_r1i1p1_RACMO22E_v1_day.ncml
EUROCORDEX44_IPSL-INERIS-ECMWF-ERAINT_r1i1p1_WRF331F_v1_evaluation,projection,http://meteo.unican.es/tds5/dodsC/cordex/EUR-44/IPSL-INERIS/ECMWF-ERAINT_evaluation_r1i1p1_WRF331F_v1_day.ncml
EUROCORDEX44_MPI-CSC-ECMWF-ERAINT_r1i1p1_REMO2009_v1_evaluation,projection,http://meteo.unican.es/tds5/dodsC/cordex/EUR-44/MPI-CSC/ECMWF-ERAINT_evaluation_r1i1p1_REMO2009_v1_day.ncml
EUROCORDEX44_SMHI-ECMWF-ERAINT_r1i1p1_RCA4_v1_evaluation,projection,http://meteo.unican.es/tds5/dodsC/cordex/EUR-44/SMHI/ECMWF-ERAINT_evaluation_r1i1p1_RCA4_v1_day.ncml





















